id,name,smiles,affinity,Core,Linker,Head
Halo_Gen1_0078,Memantine-Core-Propyl-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2CCCC1CC2(CCC1)OCC(=O)O2,-9.295,Memantine,Propyl,Lactone
Halo_Gen1_0074,Memantine-Core-Ethyl-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2CCC1CC2(CCC1)OCC(=O)O2,-9.17,Memantine,Ethyl,Lactone
Halo_Gen1_0070,Memantine-Core-Methyl-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2CC1CC2(CCC1)OCC(=O)O2,-9.095,Memantine,Methyl,Lactone
Halo_Gen1_0106,Rimantadine-Core-Ethyl-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)CCC1CC2(CCC1)OCC(=O)O2,-9.052,Rimantadine,Ethyl,Lactone
Halo_Gen1_0098,Rimantadine-Core-Direct-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)C1CC2(CCC1)OCC(=O)O2,-9.027,Rimantadine,Direct,Lactone
Halo_Gen1_0042,Adamantane-2-Ethyl-Lactone-Head,C1C2CC3CC1CC(C2)C3CCC1CC2(CCC1)OCC(=O)O2,-8.991,Adamantane,Ethyl,Lactone
Halo_Gen1_0089,Memantine-Core-Amide-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2NC(=O)C1CC(=O)C(C1)CC=CC,-8.951,Memantine,Amide,Jasmone
Halo_Gen1_0110,Rimantadine-Core-Propyl-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)CCCC1CC2(CCC1)OCC(=O)O2,-8.905,Rimantadine,Propyl,Lactone
Halo_Gen1_0102,Rimantadine-Core-Methyl-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)CC1CC2(CCC1)OCC(=O)O2,-8.901,Rimantadine,Methyl,Lactone
Halo_Gen1_0094,Memantine-Core-ReverseAmide-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2C(=O)NC1CC2(CCC1)OCC(=O)O2,-8.866,Memantine,Amide,Lactone
Halo_Gen1_0090,Memantine-Core-Amide-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2NC(=O)C1CC2(CCC1)OCC(=O)O2,-8.805,Memantine,Amide,Lactone
Halo_Gen1_0073,Memantine-Core-Ethyl-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2CCC1CC(=O)C(C1)CC=CC,-8.701,Memantine,Ethyl,Jasmone
Halo_Gen1_0046,Adamantane-2-Propyl-Lactone-Head,C1C2CC3CC1CC(C2)C3CCCC1CC2(CCC1)OCC(=O)O2,-8.676,Adamantane,Propyl,Lactone
Halo_Gen1_0122,Rimantadine-Core-Amide-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)NC(=O)C1CC2(CCC1)OCC(=O)O2,-8.652,Rimantadine,Amide,Lactone
Halo_Gen1_0010,Adamantane-1-Ethyl-Lactone-Head,C12CC3CC(C1)CC(C3)C2CCC1CC2(CCC1)OCC(=O)O2,-8.627,Adamantane,Ethyl,Lactone
Halo_Gen1_0072,Memantine-Core-Ethyl-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2CCC1CC(=O)C(C1)CC(=O)OC,-8.614,Memantine,Ethyl,Hedione
Halo_Gen1_0030,Adamantane-1-ReverseAmide-Lactone-Head,C12CC3CC(C1)CC(C3)C2C(=O)NC1CC2(CCC1)OCC(=O)O2,-8.579,Adamantane,Amide,Lactone
Halo_Gen1_0069,Memantine-Core-Methyl-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2CC1CC(=O)C(C1)CC=CC,-8.57,Memantine,Methyl,Jasmone
Halo_Gen1_0077,Memantine-Core-Propyl-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2CCCC1CC(=O)C(C1)CC=CC,-8.557,Memantine,Propyl,Jasmone
Halo_Gen1_0113,Rimantadine-Core-Ether-Jasmone-Core,CC(C12CC3CC(C1)CC(C3)C2)OC1CC(=O)C(C1)CC=CC,-8.539,Rimantadine,Ether,Jasmone
